timestamp,page,full_page_calls,poly_calls,total_calls,cost_usd
2026-06-20T04:54:53,Appendix_3/1_source_pages/page_043,1,23,24,0.0360
2026-06-20T04:54:59,Appendix_3/1_source_pages/page_041,1,27,28,0.0420
2026-06-20T04:55:00,Appendix_3/1_source_pages/page_040,1,30,31,0.0465
2026-06-20T04:55:02,Volume_1/1_source_pages/page_008,1,10,11,0.0165
2026-06-20T04:55:08,Appendix_3/1_source_pages/page_042,1,30,31,0.0465
2026-06-20T04:55:10,Volume_1/1_source_pages/page_009,1,9,10,0.0150
2026-06-20T04:55:11,Volume_1/1_source_pages/page_011,1,8,9,0.0135
2026-06-20T04:55:12,Volume_1/1_source_pages/page_013,1,6,7,0.0105
2026-06-20T04:55:15,Volume_1/1_source_pages/page_012,1,8,9,0.0135
2026-06-20T04:55:21,Volume_1/1_source_pages/page_015,1,8,9,0.0135
2026-06-20T04:55:25,Volume_1/1_source_pages/page_014,1,10,11,0.0165
2026-06-20T04:55:25,Volume_1/1_source_pages/page_016,1,8,9,0.0135
2026-06-20T04:55:26,Volume_1/1_source_pages/page_017,1,7,8,0.0120
2026-06-20T04:55:27,Volume_1/1_source_pages/page_018,1,7,8,0.0120
2026-06-20T04:55:34,Volume_1/1_source_pages/page_022,1,6,7,0.0105
2026-06-20T04:55:37,Volume_1/1_source_pages/page_021,1,8,9,0.0135
2026-06-20T04:55:37,Volume_1/1_source_pages/page_019,1,10,11,0.0165
2026-06-20T04:55:43,Volume_1/1_source_pages/page_007,1,32,33,0.0495
2026-06-20T04:55:50,Volume_1/1_source_pages/page_010,1,24,25,0.0375
2026-06-20T04:55:53,Volume_1/1_source_pages/page_026,1,8,9,0.0135
2026-06-20T04:55:55,Volume_1/1_source_pages/page_030,1,4,5,0.0075
2026-06-20T04:55:56,Volume_1/1_source_pages/page_023,1,14,15,0.0225
2026-06-20T04:55:58,Volume_1/1_source_pages/page_028,1,9,10,0.0150
2026-06-20T04:56:00,Volume_1/1_source_pages/page_029,1,9,10,0.0150
2026-06-20T04:56:01,Volume_1/1_source_pages/page_020,1,19,20,0.0300
2026-06-20T04:56:04,Volume_1/1_source_pages/page_024,1,15,16,0.0240
